order_id,order_date,customer_id,customer_name,segment,region,city,category,sub_category,product_name,ship_mode,quantity,discount,sales,profit
ORD-1000,2022-10-09,CUST-152,Bryan Goodwin,Home Office,Central,New Nicholas,Electronics,Phones,Phones Model-6,Economy,2,0.0,1232.01,20.94
ORD-1001,2022-08-14,CUST-545,Sydney Thompson,Consumer,South,East Eduardo,Furniture,Desks,Desks Model-45,Economy,11,0.2,2251.55,339.84
ORD-1002,2022-04-10,CUST-235,Lisa Martin,Consumer,West,New Elizabethberg,Electronics,Accessories,Accessories Model-35,Standard,13,0.0,1801.31,491.1
ORD-1003,2023-12-23,CUST-495,Jessica Cunningham,Corporate,North,Millerburgh,Office Supplies,Pens,Pens Model-15,Standard,13,0.2,357.08,1220.91
ORD-1004,2023-11-18,CUST-431,Scott Hanson,Consumer,Central,Loganland,Office Supplies,Pens,Pens Model-41,Express,18,0.1,1342.22,1854.31
ORD-1005,2022-02-27,CUST-261,Janet Davis,Corporate,East,East Johntown,Furniture,Shelves,Shelves Model-5,Express,19,0.2,1152.95,-226.17
ORD-1006,2022-09-29,CUST-375,Jennifer West,Corporate,Central,Clarkville,Clothing,Pants,Pants Model-28,Economy,12,0.1,706.76,1413.47
ORD-1007,2022-06-06,CUST-316,Tracy Simon DDS,Home Office,North,West Brettview,Electronics,Phones,Phones Model-25,Economy,20,0.3,3140.96,1521.78
ORD-1008,2023-11-30,CUST-493,Louis Young,Home Office,East,Cervantesview,Electronics,Phones,Phones Model-8,Same Day,14,0.1,4425.09,1427.02
ORD-1009,2023-06-04,CUST-252,Kristine Hoover,Home Office,Central,Henryborough,Office Supplies,Pens,Pens Model-39,Express,5,0.2,4564.01,1702.19
ORD-1010,2023-05-16,CUST-549,Rebecca Berry,Corporate,South,Kristinport,Electronics,Tablets,Tablets Model-4,Express,19,0.0,107.19,1836.93
ORD-1011,2023-11-07,CUST-235,Barbara Hernandez,Home Office,Central,Gregoryton,Furniture,Tables,Tables Model-28,Express,18,0.1,2381.66,964.55
ORD-1012,2023-06-14,CUST-132,,Corporate,North,Swansontown,Office Supplies,Envelopes,Envelopes Model-38,Express,19,0.1,2262.92,270.18
ORD-1013,2022-12-05,CUST-442,Joshua Russell,Corporate,South,West James,Electronics,Phones,Phones Model-35,Express,19,0.5,363.58,247.41
ORD-1014,2022-04-10,CUST-310,Megan Grant,Corporate,North,North Anaberg,Furniture,Chairs,Chairs Model-44,Standard,2,0.3,3298.32,514.88
ORD-1015,2023-07-04,CUST-242,Howard Brady,Corporate,South,Christineton,Furniture,Tables,Tables Model-5,Economy,18,0.0,2248.58,670.33
ORD-1016,2022-06-20,CUST-542,Benjamin George,Corporate,North,West Janetmouth,Electronics,Laptops,Laptops Model-11,Economy,1,0.3,2038.01,807.12
ORD-1017,2022-06-08,CUST-129,Joan Garrett,Home Office,Central,Silvaberg,Clothing,Accessories,Accessories Model-4,Same Day,2,0.0,957.59,200.71
ORD-1018,2023-06-05,CUST-404,Samuel Rice,Consumer,South,East Johnhaven,Furniture,Chairs,Chairs Model-26,Standard,19,0.1,409.76,127.4
ORD-1019,2022-07-29,CUST-235,Kaitlin Jones,Corporate,south,Tuckertown,Office Supplies,Binders,Binders Model-43,Same Day,15,0.2,3351.93,422.62
ORD-1020,2023-07-05,CUST-577,Nicole Bird,Corporate,North,New Hunter,Electronics,Phones,Phones Model-16,Same Day,10,0.1,1073.64,309.96
ORD-1021,2023-11-11,CUST-235,Thomas Miller,Consumer,North,Pamelatown,Electronics,Tablets,Tablets Model-48,Express,9,0.2,526.9,1719.69
ORD-1022,2022-09-15,CUST-147,Abigail Atkinson,Home Office,West,Smithstad,Office Supplies,Envelopes,Envelopes Model-18,Standard,1,0.2,4527.63,1646.04
ORD-1023,2023-07-29,CUST-552,Gregory Bailey,Home Office,South,Lake Jenniferberg,Clothing,Accessories,Accessories Model-35,Standard,12,0.5,58.25,-126.94
ORD-1024,2023-01-02,CUST-152,Mark Hartman,Corporate,Central,New Daniel,Office Supplies,Paper,Paper Model-27,Express,8,0.1,1058.28,273.92
ORD-1025,2022-12-07,CUST-442,Sean Armstrong,Home Office,South,Hudsonburgh,Electronics,Laptops,Laptops Model-18,Express,4,0.3,3914.11,646.94
ORD-1026,2022-11-09,CUST-214,Mrs. Victoria Jones,Consumer,South,Joeview,Clothing,Shoes,Shoes Model-26,Same Day,9,0.0,4104.48,1704.04
ORD-1027,2022-01-29,CUST-191,Adrian Arroyo,Home Office,East,South Conniestad,Clothing,Shoes,Shoes Model-3,Standard,20,0.3,585.56,1931.92
ORD-1028,2023-08-14,CUST-323,Christine Johnson,Consumer,Central,New Patricia,Electronics,Accessories,Accessories Model-35,Express,12,0.3,958.49,-197.91
ORD-1029,2022-11-04,CUST-267,Timothy Bauer,Corporate,East,Haleyside,Office Supplies,Paper,Paper Model-36,Express,7,0.3,2540.54,1233.85
ORD-1030,2023-02-20,CUST-246,Brandon Brown,Consumer,West,Cameronborough,Furniture,Shelves,Shelves Model-38,Same Day,15,0.3,2744.21,-299.07
ORD-1031,2022-10-18,CUST-271,Chad Anthony,Consumer,South,Joanneberg,Furniture,Chairs,Chairs Model-44,Same Day,8,0.1,2582.11,1155.76
ORD-1032,2023-03-01,CUST-467,James Smith,Home Office,West,Peterbury,Electronics,Accessories,Accessories Model-32,Economy,8,0.1,,1024.04
ORD-1033,2022-08-13,CUST-365,David Henry,Corporate,North,New Sarah,Electronics,Accessories,Accessories Model-36,Express,4,0.3,887.67,1903.32
ORD-1034,2023-09-20,CUST-318,Michele Bell,Home Office,West,Robertfurt,Office Supplies,Envelopes,Envelopes Model-11,Economy,15,0.2,4076.88,1751.65
ORD-1035,2022-10-09,CUST-220,Allison Smith,Corporate,East,North Seth,Clothing,Pants,Pants Model-21,Standard,5,0.1,2204.96,1341.15
ORD-1036,2023-02-22,CUST-131,John Vang,Consumer,West,Kristineport,Electronics,Accessories,Accessories Model-25,Standard,19,0.3,1661.1,771.63
ORD-1037,2023-07-06,CUST-408,,Consumer,West,Erikastad,Clothing,Accessories,Accessories Model-15,Same Day,14,0.3,3740.1,956.1
ORD-1038,2023-04-24,CUST-373,Jason Dalton,Consumer,West,East Michelle,Clothing,Pants,Pants Model-38,Standard,3,0.3,4598.51,1955.66
ORD-1039,2022-08-05,CUST-550,Tony Campbell,Corporate,East,Coreyhaven,Clothing,Shoes,Shoes Model-49,Economy,9,0.0,2278.95,476.25
ORD-1040,2023-10-28,CUST-120,Robert Mooney,Consumer,South,West Michael,Office Supplies,Pens,Pens Model-13,Standard,20,0.1,352.41,1901.76
ORD-1041,2023-12-18,CUST-410,Elizabeth Morgan,Home Office,North,Port Alyssaside,Furniture,Desks,Desks Model-50,Express,10,0.0,1288.66,548.46
ORD-1042,2022-07-23,CUST-421,Garrett Lopez,Consumer,North,West Stephenchester,Clothing,Accessories,Accessories Model-45,Same Day,20,0.0,389.22,1288.41
ORD-1043,2022-03-12,CUST-534,Christine Cochran,Corporate,West,Mitchellburgh,Clothing,Shoes,Shoes Model-7,Economy,12,0.3,2534.74,484.83
ORD-1044,2023-04-22,CUST-237,Elizabeth Hicks,Corporate,South,Michaelland,Office Supplies,Envelopes,Envelopes Model-6,Same Day,15,0.1,2183.52,1381.36
ORD-1045,2023-05-22,CUST-208,Rachel Gordon,Corporate,East,West Cynthia,Office Supplies,Paper,Paper Model-22,Same Day,20,0.2,4256.25,118.23
ORD-1046,2023-05-16,CUST-343,Kenneth Moran,Home Office,West,Lake Kaitlynberg,Furniture,Desks,Desks Model-29,Standard,3,0.2,2780.33,252.75
ORD-1047,2023-07-21,CUST-481,Elizabeth Brewer,Home Office,East,Johnsonshire,Office Supplies,Envelopes,Envelopes Model-23,Economy,9,0.2,2659.3,678.66
ORD-1048,2022-07-16,CUST-470,Amy Steele,Home Office,Central,Danielshire,Electronics,Laptops,Laptops Model-39,Same Day,4,0.1,1089.76,813.66
ORD-1049,2022-02-16,CUST-457,Johnathan Hunter,Consumer,West,Frankmouth,Furniture,Shelves,Shelves Model-7,Standard,19,0.2,4871.73,972.73
ORD-1050,2023-05-05,CUST-351,Christine Romero,Consumer,Central,East Ginaburgh,Electronics,Tablets,Tablets Model-41,Standard,5,0.1,579.29,-149.71
ORD-1051,2023-07-26,CUST-504,Benjamin Bernard,Home Office,South,East Elizabeth,Furniture,Chairs,Chairs Model-50,Economy,15,0.3,3824.57,1094.53
ORD-1052,2022-08-01,CUST-141,John Clark,Consumer,South,Emilyside,Electronics,Phones,Phones Model-12,Standard,6,0.0,3131.32,308.69
ORD-1053,2022-10-23,CUST-332,Eric Yates,Consumer,South,Wadeport,Electronics,Laptops,Laptops Model-17,Express,14,0.0,3537.71,1316.87
ORD-1054,2022-03-03,CUST-483,Kyle Shannon,Home Office,East,New Kenneth,Furniture,Chairs,Chairs Model-29,Standard,15,0.2,837.95,407.51
ORD-1055,2022-03-24,CUST-476,Timothy Palmer,Corporate,Central,Solisland,Clothing,Accessories,Accessories Model-17,Standard,3,0.1,2994.2,1745.67
ORD-1056,2023-08-14,CUST-340,Jason Schultz,Home Office,West,New David,Electronics,Tablets,Tablets Model-18,Express,19,0.3,210.76,1439.42
ORD-1057,2022-12-08,CUST-182,Toni Thompson,Corporate,West,Amyside,Office Supplies,Envelopes,Envelopes Model-45,Economy,10,0.3,1612.08,-59.42
ORD-1058,2022-11-28,CUST-542,Brian Johnson,Home Office,North,Cohenfurt,Office Supplies,Binders,Binders Model-43,Economy,14,0.0,588.45,1476.86
ORD-1059,2022-07-28,CUST-247,Melanie West,Corporate,west,Ryanfurt,Clothing,Shirts,Shirts Model-8,Standard,20,0.1,1342.61,1.33
ORD-1060,2022-08-19,CUST-336,John Carter,Consumer,South,South Christopherfurt,Clothing,Shirts,Shirts Model-32,Same Day,17,0.2,4961.36,1799.74
ORD-1061,2023-01-28,CUST-482,Isaac Cummings,Consumer,North,New Robert,Clothing,Pants,Pants Model-18,Economy,11,0.5,,1078.57
ORD-1062,2023-04-03,CUST-382,Theresa Kerr,Home Office,West,Lake Tamaraville,Clothing,Pants,Pants Model-30,Same Day,7,0.1,2697.52,493.79
ORD-1063,2023-04-30,CUST-297,Kristen Sanchez,Home Office,South,Davisview,Electronics,Tablets,Tablets Model-32,Standard,5,0.5,3529.09,1566.24
ORD-1064,2023-06-23,CUST-173,Katherine Erickson,Corporate,South,Johnfurt,Clothing,Shirts,Shirts Model-5,Economy,9,0.2,4553.1,-264.7
ORD-1065,2022-11-21,CUST-349,James Vega,Home Office,North,South Clintonchester,Office Supplies,Envelopes,Envelopes Model-40,Standard,8,0.2,3137.73,1741.11
ORD-1066,2023-03-31,CUST-114,April Campbell,Consumer,East,Lake Ricky,Electronics,Phones,Phones Model-4,Same Day,12,0.2,840.16,388.77
ORD-1067,2022-06-29,CUST-417,Kevin Smith,Home Office,South,Josephbury,Furniture,Tables,Tables Model-32,Express,8,0.3,404.05,1702.93
ORD-1068,2023-11-25,CUST-583,Joseph Lee,Corporate,Central,North Alexander,Clothing,Shoes,Shoes Model-20,Economy,9,0.3,2737.52,-130.12
ORD-1069,2022-08-31,CUST-251,Aaron Webster,Home Office,East,Josephfurt,Clothing,Shirts,Shirts Model-2,Economy,9,0.0,1913.01,525.61
ORD-1070,2022-10-21,CUST-510,Lisa Joyce,Corporate,South,Allisonchester,Electronics,Accessories,Accessories Model-41,Express,20,0.2,3880.95,229.27
ORD-1071,2023-10-05,CUST-325,Anita Bowman,Consumer,Central,West Tammyberg,Furniture,Chairs,Chairs Model-24,Express,3,0.2,3235.24,410.55
ORD-1072,2022-06-18,CUST-346,Matthew Wyatt,Corporate,East,East Victoria,Office Supplies,Binders,Binders Model-8,Economy,3,0.1,1292.28,1596.79
ORD-1073,2022-04-03,CUST-374,Pamela Mitchell,Consumer,West,Michaelmouth,Clothing,Shoes,Shoes Model-24,Same Day,19,0.3,3955.5,-267.99
ORD-1074,2022-01-26,CUST-267,Jay Sullivan,Home Office,South,Port Dominicfort,Furniture,Desks,Desks Model-42,Standard,15,0.2,3101.54,1869.29
ORD-1075,2023-05-20,CUST-375,Kenneth Smith,Consumer,West,Nelsonfort,Electronics,Tablets,Tablets Model-30,Same Day,18,0.3,589.44,240.04
ORD-1076,2023-09-23,CUST-116,Todd Conley,Home Office,East,Samuelstad,Electronics,Accessories,Accessories Model-14,Economy,15,0.1,2046.5,1888.5
ORD-1077,2023-02-12,CUST-585,Rhonda Cox,Corporate,North,Nelsonville,Office Supplies,Paper,Paper Model-43,Express,20,0.0,1386.65,1926.88
ORD-1078,2023-07-22,CUST-545,Eric Kim,Consumer,East,West Joseph,Furniture,Chairs,Chairs Model-50,Express,20,0.0,1043.72,196.69
ORD-1079,2022-04-23,CUST-107,Jamie King,Corporate,South,Michaelport,Office Supplies,Pens,Pens Model-38,Same Day,1,0.1,3308.68,-240.71
ORD-1080,2023-05-03,CUST-403,Sydney Hartman,Consumer,West,New Melissaberg,Electronics,Phones,Phones Model-33,Express,20,0.0,2246.89,532.69
